estado,edad,Poblacion,hombres,mujeres
Sonora,61,11468,5578,5890
Sonora,62,15444,7633,7811
Sonora,63,14527,7105,7422
Sonora,64,12893,6263,6630
Sonora,65,14464,7109,7355
Sonora,66,10624,5110,5514
Sonora,67,10687,5255,5432
Sonora,68,10781,5256,5525
Sonora,69,9684,4694,4990
Sonora,70,11818,5677,6141
Sonora,71,6506,3229,3277
Sonora,72,9348,4557,4791
Sonora,73,8395,4056,4339
Sonora,74,7845,3760,4085
Sonora,75,7082,3460,3622
Sonora,76,6200,2988,3212
Sonora,77,5145,2479,2666
Sonora,78,5482,2705,2777
Sonora,79,4151,1953,2198
Sonora,80,5234,2381,2853
Sonora,81,2751,1276,1475
Sonora,82,3359,1564,1795
Sonora,83,2968,1307,1661
Sonora,84,2707,1218,1489
Sonora,85,2514,1116,1398
Sonora,86,2129,917,1212
Sonora,87,1809,800,1009
Sonora,88,1360,600,760
Sonora,89,1149,504,645
Sonora,90,1177,487,690
Sonora,91,474,203,271
Sonora,92,610,251,359
Sonora,93,458,179,279
Sonora,94,356,127,229
Sonora,95,279,112,167
Sonora,96,259,97,162
Sonora,97,156,60,96
Sonora,98,153,64,89
Sonora,99,93,31,62
Sonora,100,224,87,137
Sonora,NE,20291,10164,10127
Tabasco,0,43095,22034,21061
Tabasco,1,43491,22249,21242
Tabasco,2,44868,22933,21935
Tabasco,3,46540,23473,23067
Tabasco,4,45698,23505,22193
Tabasco,5,44660,22704,21956
Tabasco,6,44316,22282,22034
Tabasco,7,44928,22763,22165
Tabasco,8,45519,23335,22184
Tabasco,9,45638,23061,22577
Tabasco,10,47527,24195,23332
Tabasco,11,40884,20753,20131
Tabasco,12,44232,22687,21545
Tabasco,13,43260,21782,21478
Tabasco,14,44873,22387,22486
Tabasco,15,45489,22983,22506
Tabasco,16,43374,21740,21634
Tabasco,17,48276,24259,24017
Tabasco,18,47163,23753,23410
Tabasco,19,39955,19176,20779
Tabasco,20,44195,21528,22667
Tabasco,21,36533,17601,18932
Tabasco,22,43198,20947,22251
Tabasco,23,42094,20256,21838
Tabasco,24,40822,19716,21106
Tabasco,25,40473,18931,21542
Tabasco,26,36619,17085,19534
Tabasco,27,36928,17434,19494
Tabasco,28,38204,18044,20160
Tabasco,29,33647,15675,17972
Tabasco,30,43906,20921,22985
Tabasco,31,27337,12801,14536
Tabasco,32,37247,17238,20009
Tabasco,33,33570,15694,17876
Tabasco,34,32332,15175,17157
Tabasco,35,35203,16530,18673
Tabasco,36,33310,15683,17627
Tabasco,37,30960,14605,16355
Tabasco,38,36769,17781,18988
Tabasco,39,28680,13549,15131
Tabasco,40,37975,18576,19399
Tabasco,41,19404,9244,10160
Tabasco,42,31074,15379,15695
Tabasco,43,24703,11837,12866
Tabasco,44,22844,10988,11856
Tabasco,45,27352,13527,13825
Tabasco,46,21887,10670,11217
Tabasco,47,21364,10522,10842
Tabasco,48,24601,12246,12355
Tabasco,49,21222,10410,10812
Tabasco,50,27117,13485,13632
Tabasco,51,14115,6976,7139
Tabasco,52,19652,9815,9837
Tabasco,53,17141,8380,8761
Tabasco,54,17084,8256,8828
Tabasco,55,18380,9055,9325
Tabasco,56,15968,8148,7820
Tabasco,57,12368,6162,6206
Tabasco,58,13851,6838,7013
Tabasco,59,11783,5779,6004
Tabasco,60,16542,8309,8233
Tabasco,61,6712,3248,3464
Tabasco,62,9917,4968,4949
Tabasco,63,9740,4800,4940
Tabasco,64,8815,4282,4533
Tabasco,65,10864,5385,5479
Tabasco,66,7300,3487,3813
Tabasco,67,6577,3249,3328
Tabasco,68,7449,3629,3820
Tabasco,69,6538,3204,3334
Tabasco,70,10809,5284,5525
Tabasco,71,4107,2045,2062
Tabasco,72,6635,3272,3363
Tabasco,73,5662,2747,2915
Tabasco,74,5319,2611,2708
Tabasco,75,5850,2837,3013
Tabasco,76,4414,2238,2176
Tabasco,77,3469,1786,1683
Tabasco,78,4597,2326,2271
Tabasco,79,2718,1430,1288
Tabasco,80,4272,2077,2195
Tabasco,81,1526,799,727
Tabasco,82,2341,1189,1152
Tabasco,83,2039,1007,1032
Tabasco,84,2079,1020,1059
Tabasco,85,2269,1044,1225
Tabasco,86,1584,778,806
Tabasco,87,1284,594,690
Tabasco,88,1107,551,556
Tabasco,89,890,407,483
Tabasco,90,1202,564,638
Tabasco,91,345,170,175
Tabasco,92,449,223,226
Tabasco,93,371,186,185
Tabasco,94,302,132,170
Tabasco,95,370,148,222
Tabasco,96,277,116,161
Tabasco,97,199,93,106
Tabasco,98,277,141,136
Tabasco,99,174,91,83
Tabasco,100,536,235,301
Tabasco,NE,24978,12515,12463
Tamaulipas,0,56296,28700,27596
Tamaulipas,1,58683,29949,28734
Tamaulipas,2,62780,32134,30646
Tamaulipas,3,63035,32131,30904
Tamaulipas,4,62143,31543,30600
Tamaulipas,5,60887,31019,29868
Tamaulipas,6,60349,30324,30025
Tamaulipas,7,59670,30428,29242
Tamaulipas,8,62337,31623,30714
Tamaulipas,9,61879,31224,30655
Tamaulipas,10,64320,32959,31361
Tamaulipas,11,56830,29001,27829
Tamaulipas,12,58830,29985,28845
Tamaulipas,13,56857,29092,27765
Tamaulipas,14,57632,29067,28565
Tamaulipas,15,59750,30304,29446
Tamaulipas,16,57397,29103,28294
Tamaulipas,17,59994,30212,29782
Tamaulipas,18,60546,30858,29688
Tamaulipas,19,53995,26774,27221
Tamaulipas,20,58406,29112,29294
Tamaulipas,21,52510,26140,26370
Tamaulipas,22,56107,28068,28039
Tamaulipas,23,55245,27305,27940
Tamaulipas,24,53185,26433,26752
Tamaulipas,25,54409,26685,27724
Tamaulipas,26,51227,24687,26540
Tamaulipas,27,51020,24977,26043
Tamaulipas,28,53225,26196,27029
Tamaulipas,29,48235,23670,24565
Tamaulipas,30,60089,29493,30596
Tamaulipas,31,42431,20343,22088
Tamaulipas,32,53380,25723,27657
Tamaulipas,33,50873,24876,25997
Tamaulipas,34,48540,23673,24867
Tamaulipas,35,53994,26424,27570
Tamaulipas,36,50937,24614,26323
Tamaulipas,37,48321,23572,24749
Tamaulipas,38,51885,25512,26373
Tamaulipas,39,45449,22156,23293
Tamaulipas,40,54812,26794,28018
Tamaulipas,41,35628,17429,18199
Tamaulipas,42,48893,24105,24788
Tamaulipas,43,39237,18946,20291
Tamaulipas,44,35166,17030,18136
Tamaulipas,45,41671,20713,20958
Tamaulipas,46,34612,16797,17815
Tamaulipas,47,33344,16361,16983
Tamaulipas,48,35221,17259,17962
Tamaulipas,49,32334,15699,16635
Tamaulipas,50,39468,19140,20328
Tamaulipas,51,24076,11631,12445
Tamaulipas,52,30557,15022,15535
Tamaulipas,53,27017,13011,14006
Tamaulipas,54,26630,12798,13832
Tamaulipas,55,26947,13232,13715
Tamaulipas,56,23547,11676,11871
Tamaulipas,57,19577,9489,10088
Tamaulipas,58,20133,9678,10455
Tamaulipas,59,19113,9252,9861
Tamaulipas,60,24301,11558,12743
Tamaulipas,61,13479,6292,7187
Tamaulipas,62,18246,8622,9624
Tamaulipas,63,17575,8331,9244
Tamaulipas,64,16165,7556,8609
Tamaulipas,65,16603,7784,8819
Tamaulipas,66,12897,6176,6721
Tamaulipas,67,12426,5897,6529
Tamaulipas,68,12826,5970,6856
Tamaulipas,69,11386,5352,6034
Tamaulipas,70,14969,7070,7899
Tamaulipas,71,7920,3740,4180
Tamaulipas,72,11083,5196,5887
Tamaulipas,73,10202,4773,5429
Tamaulipas,74,9445,4388,5057
Tamaulipas,75,9660,4633,5027
Tamaulipas,76,7584,3497,4087
Tamaulipas,77,6466,2994,3472
Tamaulipas,78,6561,3159,3402
Tamaulipas,79,5151,2381,2770
Tamaulipas,80,7089,3247,3842
Tamaulipas,81,3518,1627,1891
Tamaulipas,82,4246,1874,2372
Tamaulipas,83,3845,1676,2169
Tamaulipas,84,3689,1630,2059
Tamaulipas,85,3575,1529,2046
Tamaulipas,86,2910,1318,1592
Tamaulipas,87,2319,1057,1262
Tamaulipas,88,1789,776,1013
Tamaulipas,89,1485,622,863
Tamaulipas,90,1562,609,953
Tamaulipas,91,564,230,334
Tamaulipas,92,756,331,425
Tamaulipas,93,510,231,279
Tamaulipas,94,460,188,272
Tamaulipas,95,404,170,234
Tamaulipas,96,364,128,236
Tamaulipas,97,244,100,144
Tamaulipas,98,250,102,148
Tamaulipas,99,165,74,91
Tamaulipas,100,408,169,239
Tamaulipas,NE,101796,50993,50803
Tlaxcala,0,21615,11029,10586
Tlaxcala,1,22351,11421,10930
Tlaxcala,2,23461,11818,11643
Tlaxcala,3,23849,12024,11825
Tlaxcala,4,24797,12688,12109
Tlaxcala,5,24142,12252,11890
Tlaxcala,6,24701,12449,12252
Tlaxcala,7,24706,12821,11885
Tlaxcala,8,25421,12890,12531
Tlaxcala,9,24360,12261,12099
Tlaxcala,10,25567,13072,12495
Tlaxcala,11,22474,11332,11142
Tlaxcala,12,23534,11882,11652
Tlaxcala,13,23130,11753,11377
Tlaxcala,14,23929,11931,11998
Tlaxcala,15,24918,12650,12268
Tlaxcala,16,23281,11701,11580
Tlaxcala,17,24706,12459,12247
Tlaxcala,18,24717,12464,12253
Tlaxcala,19,21550,10557,10993
Tlaxcala,20,23156,11360,11796
Tlaxcala,21,19096,9225,9871
Tlaxcala,22,21658,10544,11114
Tlaxcala,23,20676,9757,10919
Tlaxcala,24,20195,9520,10675
Tlaxcala,25,20026,9394,10632
Tlaxcala,26,18795,8582,10213
Tlaxcala,27,18574,8530,10044
Tlaxcala,28,19164,8859,10305
Tlaxcala,29,17161,7870,9291
Tlaxcala,30,22011,10197,11814
Tlaxcala,31,14574,6599,7975
Tlaxcala,32,19506,8935,10571
Tlaxcala,33,17673,8194,9479
Tlaxcala,34,16848,7747,9101
Tlaxcala,35,18340,8452,9888
Tlaxcala,36,17828,8196,9632
Tlaxcala,37,15708,7401,8307
Tlaxcala,38,18085,8435,9650
Tlaxcala,39,14599,6813,7786
Tlaxcala,40,18995,8722,10273
Tlaxcala,41,10929,5122,5807
Tlaxcala,42,16522,7856,8666
Tlaxcala,43,12780,5991,6789
Tlaxcala,44,11804,5448,6356
Tlaxcala,45,14160,6647,7513
Tlaxcala,46,11368,5268,6100
Tlaxcala,47,10747,5101,5646
Tlaxcala,48,11977,5593,6384
Tlaxcala,49,10570,4903,5667
Tlaxcala,50,13630,6353,7277
Tlaxcala,51,7795,3722,4073
Tlaxcala,52,10436,4954,5482
Tlaxcala,53,8766,4043,4723
Tlaxcala,54,8735,4007,4728
Tlaxcala,55,8986,4219,4767
Tlaxcala,56,8040,3785,4255
Tlaxcala,57,6284,3000,3284
Tlaxcala,58,6831,3284,3547
Tlaxcala,59,6030,2922,3108
Tlaxcala,60,8094,3912,4182
Tlaxcala,61,3956,1852,2104
Tlaxcala,62,5675,2702,2973
Tlaxcala,63,5586,2620,2966
Tlaxcala,64,5219,2511,2708
Tlaxcala,65,5893,2746,3147
Tlaxcala,66,4114,1960,2154
Tlaxcala,67,3938,1899,2039
Tlaxcala,68,4335,2012,2323
Tlaxcala,69,3717,1736,1981
Tlaxcala,70,4983,2339,2644
Tlaxcala,71,2279,1083,1196
Tlaxcala,72,3750,1759,1991
Tlaxcala,73,3237,1474,1763
Tlaxcala,74,3248,1542,1706
Tlaxcala,75,3351,1547,1804
Tlaxcala,76,2783,1308,1475
Tlaxcala,77,2278,1081,1197
Tlaxcala,78,2747,1299,1448
Tlaxcala,79,1850,873,977
Tlaxcala,80,2667,1204,1463
Tlaxcala,81,1260,603,657
Tlaxcala,82,1709,786,923
Tlaxcala,83,1492,707,785
Tlaxcala,84,1613,756,857
Tlaxcala,85,1532,689,843
Tlaxcala,86,1246,589,657
Tlaxcala,87,1065,468,597
Tlaxcala,88,927,429,498
Tlaxcala,89,707,318,389
Tlaxcala,90,741,325,416
Tlaxcala,91,290,131,159
Tlaxcala,92,392,164,228
Tlaxcala,93,328,151,177
Tlaxcala,94,246,109,137
Tlaxcala,95,212,84,128
Tlaxcala,96,208,83,125
Tlaxcala,97,126,47,79
Tlaxcala,98,155,68,87
Tlaxcala,99,93,36,57
Tlaxcala,100,187,75,112
Tlaxcala,NE,5440,2694,2746
Veracruz de Ignacio de la Llave,0,125878,64029,61849
Veracruz de Ignacio de la Llave,1,128508,65430,63078
Veracruz de Ignacio de la Llave,2,133883,67713,66170
Veracruz de Ignacio de la Llave,3,136684,69073,67611
Veracruz de Ignacio de la Llave,4,137335,69654,67681
Veracruz de Ignacio de la Llave,5,137886,70335,67551
Veracruz de Ignacio de la Llave,6,141326,71442,69884
Veracruz de Ignacio de la Llave,7,146461,74558,71903
Veracruz de Ignacio de la Llave,8,151226,77147,74079
Veracruz de Ignacio de la Llave,9,151868,76293,75575
Veracruz de Ignacio de la Llave,10,156611,80403,76208
Veracruz de Ignacio de la Llave,11,140386,71237,69149
Veracruz de Ignacio de la Llave,12,148556,75581,72975
Veracruz de Ignacio de la Llave,13,143845,72925,70920
Veracruz de Ignacio de la Llave,14,152128,76778,75350
Veracruz de Ignacio de la Llave,15,156720,78981,77739
Veracruz de Ignacio de la Llave,16,149496,75252,74244
Veracruz de Ignacio de la Llave,17,159268,80743,78525
Veracruz de Ignacio de la Llave,18,159463,80368,79095
Veracruz de Ignacio de la Llave,19,134441,66007,68434
Veracruz de Ignacio de la Llave,20,142829,69427,73402
Veracruz de Ignacio de la Llave,21,119080,56859,62221
Veracruz de Ignacio de la Llave,22,133139,64220,68919
Veracruz de Ignacio de la Llave,23,126108,59901,66207
Veracruz de Ignacio de la Llave,24,120937,57155,63782
Veracruz de Ignacio de la Llave,25,119606,55798,63808
Veracruz de Ignacio de la Llave,26,110998,51364,59634
Veracruz de Ignacio de la Llave,27,110057,51313,58744
Veracruz de Ignacio de la Llave,28,113891,53299,60592
Veracruz de Ignacio de la Llave,29,103210,47379,55831
Veracruz de Ignacio de la Llave,30,129718,60390,69328
Veracruz de Ignacio de la Llave,31,86765,39115,47650
Veracruz de Ignacio de la Llave,32,113149,51387,61762
Veracruz de Ignacio de la Llave,33,107440,49008,58432
Veracruz de Ignacio de la Llave,34,102613,47194,55419
Veracruz de Ignacio de la Llave,35,110611,50932,59679
Veracruz de Ignacio de la Llave,36,112422,51916,60506
Veracruz de Ignacio de la Llave,37,103131,47639,55492
Veracruz de Ignacio de la Llave,38,117751,55282,62469
Veracruz de Ignacio de la Llave,39,98839,45508,53331
Veracruz de Ignacio de la Llave,40,125836,59266,66570
Veracruz de Ignacio de la Llave,41,74648,34831,39817
Veracruz de Ignacio de la Llave,42,110945,52718,58227
Veracruz de Ignacio de la Llave,43,89460,41557,47903
Veracruz de Ignacio de la Llave,44,85921,40285,45636
Veracruz de Ignacio de la Llave,45,96561,45831,50730
Veracruz de Ignacio de la Llave,46,82697,39184,43513
Veracruz de Ignacio de la Llave,47,79847,37875,41972
Veracruz de Ignacio de la Llave,48,86677,41223,45454
Veracruz de Ignacio de la Llave,49,79063,37402,41661
Veracruz de Ignacio de la Llave,50,96692,46009,50683
Veracruz de Ignacio de la Llave,51,57545,27295,30250
Veracruz de Ignacio de la Llave,52,75912,36104,39808
Veracruz de Ignacio de la Llave,53,66770,31576,35194
Veracruz de Ignacio de la Llave,54,68672,31818,36854
Veracruz de Ignacio de la Llave,55,72260,34387,37873
Veracruz de Ignacio de la Llave,56,63774,30740,33034
Veracruz de Ignacio de la Llave,57,51571,24764,26807
Veracruz de Ignacio de la Llave,58,57531,27410,30121
Veracruz de Ignacio de la Llave,59,53035,25318,27717
Veracruz de Ignacio de la Llave,60,68707,33037,35670
Veracruz de Ignacio de la Llave,61,34529,16494,18035
Veracruz de Ignacio de la Llave,62,47041,22269,24772
Veracruz de Ignacio de la Llave,63,46786,22288,24498
Veracruz de Ignacio de la Llave,64,42635,19960,22675
Veracruz de Ignacio de la Llave,65,44426,20963,23463
Veracruz de Ignacio de la Llave,66,35617,17101,18516
Veracruz de Ignacio de la Llave,67,33297,15979,17318
Veracruz de Ignacio de la Llave,68,36429,17156,19273
Veracruz de Ignacio de la Llave,69,34067,16166,17901
Veracruz de Ignacio de la Llave,70,46224,21458,24766
Veracruz de Ignacio de la Llave,71,21872,10361,11511
Veracruz de Ignacio de la Llave,72,31838,14973,16865
Veracruz de Ignacio de la Llave,73,28278,13057,15221
Veracruz de Ignacio de la Llave,74,27134,12698,14436
Veracruz de Ignacio de la Llave,75,27128,12576,14552
Veracruz de Ignacio de la Llave,76,20967,9886,11081
Veracruz de Ignacio de la Llave,77,17274,8056,9218
Veracruz de Ignacio de la Llave,78,19917,9243,10674
Veracruz de Ignacio de la Llave,79,14833,6897,7936
Veracruz de Ignacio de la Llave,80,21782,9658,12124
Veracruz de Ignacio de la Llave,81,8942,4199,4743
Veracruz de Ignacio de la Llave,82,11494,5259,6235
Veracruz de Ignacio de la Llave,83,9948,4504,5444
Veracruz de Ignacio de la Llave,84,10461,4674,5787
Veracruz de Ignacio de la Llave,85,10906,4818,6088
Veracruz de Ignacio de la Llave,86,7990,3680,4310
Veracruz de Ignacio de la Llave,87,6493,2847,3646
Veracruz de Ignacio de la Llave,88,5669,2504,3165
Veracruz de Ignacio de la Llave,89,4507,1930,2577
Veracruz de Ignacio de la Llave,90,5734,2360,3374
Veracruz de Ignacio de la Llave,91,1827,800,1027
Veracruz de Ignacio de la Llave,92,2323,994,1329
Veracruz de Ignacio de la Llave,93,1783,767,1016
Veracruz de Ignacio de la Llave,94,1546,650,896
Veracruz de Ignacio de la Llave,95,1714,668,1046
Veracruz de Ignacio de la Llave,96,1413,600,813
Veracruz de Ignacio de la Llave,97,905,399,506
Veracruz de Ignacio de la Llave,98,1138,480,658
Veracruz de Ignacio de la Llave,99,797,356,441
Veracruz de Ignacio de la Llave,100,2186,890,1296
Veracruz de Ignacio de la Llave,NE,94957,47396,47561
Yucatán,0,32656,16628,16028
Yucatán,1,33040,16710,16330
Yucatán,2,34750,17592,17158
Yucatán,3,35024,17453,17571
Yucatán,4,35257,17836,17421
Yucatán,5,34762,17641,17121
Yucatán,6,36052,18062,17990
Yucatán,7,36411,18411,18000
Yucatán,8,36750,18938,17812
Yucatán,9,37612,18840,18772
Yucatán,10,38720,19752,18968
Yucatán,11,34700,17699,17001
Yucatán,12,36539,18645,17894
Yucatán,13,35648,18162,17486
Yucatán,14,36997,18663,18334
Yucatán,15,38776,19752,19024
Yucatán,16,37518,18920,18598
Yucatán,17,40297,20244,20053
Yucatán,18,39854,20142,19712
Yucatán,19,35582,17555,18027
Yucatán,20,39503,19623,19880
Yucatán,21,34751,17242,17509
Yucatán,22,37773,18932,18841
Yucatán,23,36209,17931,18278
Yucatán,24,35086,17285,17801
Yucatán,25,34369,16949,17420
Yucatán,26,32213,15706,16507
Yucatán,27,32137,15781,16356
Yucatán,28,32485,15875,16610
Yucatán,29,29151,14132,15019
Yucatán,30,35740,17610,18130
Yucatán,31,24617,11726,12891
Yucatán,32,31089,14838,16251
Yucatán,33,31150,15043,16107
Yucatán,34,28844,13912,14932
Yucatán,35,31903,15247,16656
Yucatán,36,30078,14551,15527
Yucatán,37,28246,13540,14706
Yucatán,38,29615,14515,15100
Yucatán,39,25363,12145,13218
Yucatán,40,30468,14896,15572
Yucatán,41,18500,8816,9684
Yucatán,42,25781,12615,13166
Yucatán,43,21439,10183,11256
Yucatán,44,20511,9755,10756
Yucatán,45,23704,11456,12248
Yucatán,46,19313,9039,10274
Yucatán,47,19349,9314,10035
Yucatán,48,20191,9763,10428
Yucatán,49,18645,8956,9689
Yucatán,50,23259,11176,12083
Yucatán,51,13934,6598,7336
Yucatán,52,18103,8659,9444
Yucatán,53,16154,7611,8543
Yucatán,54,16468,7770,8698
Yucatán,55,17663,8407,9256
Yucatán,56,15865,7702,8163
Yucatán,57,13264,6399,6865
Yucatán,58,13771,6511,7260
Yucatán,59,12856,6335,6521
Yucatán,60,17365,8560,8805
Yucatán,61,9610,4532,5078
Yucatán,62,12517,6003,6514
Yucatán,63,12183,5829,6354
Yucatán,64,9897,4723,5174
Yucatán,65,11363,5443,5920
Yucatán,66,8685,4109,4576
Yucatán,67,8249,4046,4203
Yucatán,68,8250,3821,4429
Yucatán,69,7545,3852,3693
Yucatán,70,9889,4750,5139
Yucatán,71,5594,2768,2826
Yucatán,72,7590,3667,3923
Yucatán,73,6581,3142,3439
Yucatán,74,6125,3007,3118
Yucatán,75,6469,3140,3329
Yucatán,76,4914,2354,2560
Yucatán,77,4446,2238,2208
Yucatán,78,4954,2464,2490
Yucatán,79,3775,1875,1900
Yucatán,80,4801,2315,2486
Yucatán,81,2336,1109,1227
Yucatán,82,2960,1411,1549
Yucatán,83,2722,1322,1400
Yucatán,84,2808,1334,1474
Yucatán,85,2741,1366,1375
Yucatán,86,2209,1095,1114
Yucatán,87,1788,823,965
Yucatán,88,1521,740,781
Yucatán,89,1281,594,687
Yucatán,90,1460,679,781
Yucatán,91,592,263,329
Yucatán,92,682,320,362
Yucatán,93,630,286,344
Yucatán,94,451,195,256
Yucatán,95,342,134,208
Yucatán,96,346,167,179
Yucatán,97,224,112,112
Yucatán,98,224,97,127
Yucatán,99,153,76,77
Yucatán,100,202,88,114
Yucatán,NE,12598,6295,6303
Zacatecas,0,29908,15208,14700
Zacatecas,1,29459,14957,14502
Zacatecas,2,31046,15955,15091
Zacatecas,3,30921,15565,15356
Zacatecas,4,30703,15635,15068
Zacatecas,5,30221,15353,14868
Zacatecas,6,30244,15224,15020
Zacatecas,7,30151,15348,14803
Zacatecas,8,30389,15405,14984
Zacatecas,9,30775,15568,15207
Zacatecas,10,31977,16292,15685
Zacatecas,11,29710,14945,14765
Zacatecas,12,30539,15474,15065
Zacatecas,13,29496,14941,14555
Zacatecas,14,30432,15400,15032
Zacatecas,15,31006,15769,15237
Zacatecas,16,29854,14821,15033
Zacatecas,17,31360,15747,15613
Zacatecas,18,31401,15781,15620
Zacatecas,19,26878,13051,13827
Zacatecas,20,28597,13706,14891
Zacatecas,21,25027,11937,13090
Zacatecas,22,26950,12835,14115
Zacatecas,23,25888,12113,13775
Zacatecas,24,24617,11417,13200
Zacatecas,25,23737,11093,12644
Zacatecas,26,21837,10095,11742
Zacatecas,27,21527,10161,11366
Zacatecas,28,21254,10027,11227
Zacatecas,29,19462,9040,10422
Zacatecas,30,24395,11436,12959
Zacatecas,31,17508,8175,9333
Zacatecas,32,22620,10395,12225
Zacatecas,33,20765,9704,11061
Zacatecas,34,20139,9527,10612
Zacatecas,35,21548,10323,11225
Zacatecas,36,20983,10056,10927
Zacatecas,37,19319,9304,10015
Zacatecas,38,21407,10149,11258
Zacatecas,39,18070,8641,9429
Zacatecas,40,21796,10283,11513
Zacatecas,41,14635,6876,7759
Zacatecas,42,20138,9802,10336
Zacatecas,43,16823,7835,8988
Zacatecas,44,15587,7327,8260
Zacatecas,45,17369,8370,8999
Zacatecas,46,14665,6974,7691
Zacatecas,47,14052,6617,7435
Zacatecas,48,14509,6813,7696
Zacatecas,49,13415,6337,7078
Zacatecas,50,16750,7864,8886
Zacatecas,51,9983,4740,5243
Zacatecas,52,12687,6031,6656
Zacatecas,53,11867,5693,6174
Zacatecas,54,11161,5194,5967
Zacatecas,55,11406,5425,5981
Zacatecas,56,10150,4968,5182
Zacatecas,57,8443,4094,4349
Zacatecas,58,9206,4409,4797
Zacatecas,59,8536,4106,4430
Zacatecas,60,11032,5334,5698
Zacatecas,61,6030,2863,3167
Zacatecas,62,8193,3920,4273
Zacatecas,63,8125,3862,4263
Zacatecas,64,7710,3753,3957
Zacatecas,65,8194,4003,4191
Zacatecas,66,6841,3254,3587
Zacatecas,67,6312,3074,3238
Zacatecas,68,6689,3213,3476
Zacatecas,69,6070,3140,2930
Zacatecas,70,8231,4014,4217
Zacatecas,71,4248,2056,2192
Zacatecas,72,6067,2976,3091
Zacatecas,73,5358,2546,2812
Zacatecas,74,5321,2543,2778
Zacatecas,75,5485,2683,2802
Zacatecas,76,4462,2222,2240
Zacatecas,77,3771,1923,1848
Zacatecas,78,4298,2113,2185
Zacatecas,79,3006,1522,1484
Zacatecas,80,4358,2090,2268
Zacatecas,81,1981,1022,959
Zacatecas,82,2712,1341,1371
Zacatecas,83,2412,1212,1200
Zacatecas,84,2478,1203,1275
Zacatecas,85,2499,1210,1289
Zacatecas,86,1904,945,959
Zacatecas,87,1592,773,819
Zacatecas,88,1370,685,685
Zacatecas,89,1142,539,603
Zacatecas,90,1175,543,632
Zacatecas,91,395,189,206
Zacatecas,92,532,238,294
Zacatecas,93,381,178,203
Zacatecas,94,349,148,201
Zacatecas,95,300,134,166
Zacatecas,96,289,130,159
Zacatecas,97,207,91,116
Zacatecas,98,231,104,127
Zacatecas,99,149,67,82
Zacatecas,100,253,102,151
Zacatecas,NE,13218,6608,6610
